Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
2000,Ontario,Unattached individuals,After-tax income,Fourth quintile,37000,24.1
2000,Ontario,Unattached individuals,After-tax income,Highest quintile,67100,43.8
2000,Manitoba,All family units,Market income,Total of quintiles,51900,100
2000,Manitoba,All family units,Market income,Lowest quintile,5700,2.2
2000,Manitoba,All family units,Market income,Second quintile,19000,7.3
2000,Manitoba,All family units,Market income,Third quintile,40600,15.6
2000,Manitoba,All family units,Market income,Fourth quintile,66600,25.7
2000,Manitoba,All family units,Market income,Highest quintile,127500,49.1
2000,Manitoba,All family units,Total income,Total of quintiles,59600,100
2000,Manitoba,All family units,Total income,Lowest quintile,14400,4.8
2000,Manitoba,All family units,Total income,Second quintile,29600,9.9
2000,Manitoba,All family units,Total income,Third quintile,48700,16.3
2000,Manitoba,All family units,Total income,Fourth quintile,73600,24.7
2000,Manitoba,All family units,Total income,Highest quintile,132000,44.3
2000,Manitoba,All family units,After-tax income,Total of quintiles,49000,100
2000,Manitoba,All family units,After-tax income,Lowest quintile,13600,5.6
2000,Manitoba,All family units,After-tax income,Second quintile,26900,11
2000,Manitoba,All family units,After-tax income,Third quintile,41900,17.1
2000,Manitoba,All family units,After-tax income,Fourth quintile,60500,24.7
2000,Manitoba,All family units,After-tax income,Highest quintile,101900,41.6
2000,Manitoba,"Economic families, two persons or more",Market income,Total of quintiles,65000,100
2000,Manitoba,"Economic families, two persons or more",Market income,Lowest quintile,11600,3.6
2000,Manitoba,"Economic families, two persons or more",Market income,Second quintile,36200,11.1
2000,Manitoba,"Economic families, two persons or more",Market income,Third quintile,57000,17.6
2000,Manitoba,"Economic families, two persons or more",Market income,Fourth quintile,82800,25.5
2000,Manitoba,"Economic families, two persons or more",Market income,Highest quintile,137200,42.2
2000,Manitoba,"Economic families, two persons or more",Total income,Total of quintiles,73000,100
2000,Manitoba,"Economic families, two persons or more",Total income,Lowest quintile,23800,6.5
2000,Manitoba,"Economic families, two persons or more",Total income,Second quintile,45900,12.6
2000,Manitoba,"Economic families, two persons or more",Total income,Third quintile,64900,17.8
2000,Manitoba,"Economic families, two persons or more",Total income,Fourth quintile,89100,24.4
2000,Manitoba,"Economic families, two persons or more",Total income,Highest quintile,141200,38.7
2000,Manitoba,"Economic families, two persons or more",After-tax income,Total of quintiles,60100,100
2000,Manitoba,"Economic families, two persons or more",After-tax income,Lowest quintile,22900,7.6
2000,Manitoba,"Economic families, two persons or more",After-tax income,Second quintile,40900,13.6
2000,Manitoba,"Economic families, two persons or more",After-tax income,Third quintile,54900,18.3
2000,Manitoba,"Economic families, two persons or more",After-tax income,Fourth quintile,72100,24
2000,Manitoba,"Economic families, two persons or more",After-tax income,Highest quintile,109700,36.5
2000,Manitoba,Unattached individuals,Market income,Total of quintiles,26200,100
2000,Manitoba,Unattached individuals,Market income,Lowest quintile,5200,3.9
2000,Manitoba,Unattached individuals,Market income,Second quintile,5000,3.8
2000,Manitoba,Unattached individuals,Market income,Third quintile,14700,11.2
2000,Manitoba,Unattached individuals,Market income,Fourth quintile,27700,21.1
2000,Manitoba,Unattached individuals,Market income,Highest quintile,78600,59.9
2000,Manitoba,Unattached individuals,Total income,Total of quintiles,33500,100
2000,Manitoba,Unattached individuals,Total income,Lowest quintile,10200,6.1
2000,Manitoba,Unattached individuals,Total income,Second quintile,17200,10.3
2000,Manitoba,Unattached individuals,Total income,Third quintile,23400,14
2000,Manitoba,Unattached individuals,Total income,Fourth quintile,34800,20.8
2000,Manitoba,Unattached individuals,Total income,Highest quintile,81600,48.8
2000,Manitoba,Unattached individuals,After-tax income,Total of quintiles,27100,100
2000,Manitoba,Unattached individuals,After-tax income,Lowest quintile,9200,6.8
2000,Manitoba,Unattached individuals,After-tax income,Second quintile,16700,12.4
2000,Manitoba,Unattached individuals,After-tax income,Third quintile,21200,15.7
2000,Manitoba,Unattached individuals,After-tax income,Fourth quintile,29400,21.7
2000,Manitoba,Unattached individuals,After-tax income,Highest quintile,58800,43.5
2000,Saskatchewan,All family units,Market income,Total of quintiles,49100,100
2000,Saskatchewan,All family units,Market income,Lowest quintile,4400,1.8
2000,Saskatchewan,All family units,Market income,Second quintile,18200,7.4
2000,Saskatchewan,All family units,Market income,Third quintile,36700,14.9
2000,Saskatchewan,All family units,Market income,Fourth quintile,63400,25.8
2000,Saskatchewan,All family units,Market income,Highest quintile,122900,50
2000,Saskatchewan,All family units,Total income,Total of quintiles,57000,100
2000,Saskatchewan,All family units,Total income,Lowest quintile,12200,4.3
2000,Saskatchewan,All family units,Total income,Second quintile,29200,10.2
2000,Saskatchewan,All family units,Total income,Third quintile,46000,16.1
2000,Saskatchewan,All family units,Total income,Fourth quintile,70900,24.9
2000,Saskatchewan,All family units,Total income,Highest quintile,126700,44.4
2000,Saskatchewan,All family units,After-tax income,Total of quintiles,46900,100
2000,Saskatchewan,All family units,After-tax income,Lowest quintile,11900,5.1
2000,Saskatchewan,All family units,After-tax income,Second quintile,26600,11.3
2000,Saskatchewan,All family units,After-tax income,Third quintile,40000,17
2000,Saskatchewan,All family units,After-tax income,Fourth quintile,58300,24.8
2000,Saskatchewan,All family units,After-tax income,Highest quintile,97900,41.7
2000,Saskatchewan,"Economic families, two persons or more",Market income,Total of quintiles,62600,100
2000,Saskatchewan,"Economic families, two persons or more",Market income,Lowest quintile,10600,3.4
2000,Saskatchewan,"Economic families, two persons or more",Market income,Second quintile,31000,9.9
2000,Saskatchewan,"Economic families, two persons or more",Market income,Third quintile,53700,17.2
2000,Saskatchewan,"Economic families, two persons or more",Market income,Fourth quintile,79900,25.5
2000,Saskatchewan,"Economic families, two persons or more",Market income,Highest quintile,137700,44
2000,Saskatchewan,"Economic families, two persons or more",Total income,Total of quintiles,70900,100
2000,Saskatchewan,"Economic families, two persons or more",Total income,Lowest quintile,22600,6.4
2000,Saskatchewan,"Economic families, two persons or more",Total income,Second quintile,42700,12
2000,Saskatchewan,"Economic families, two persons or more",Total income,Third quintile,62400,17.6
2000,Saskatchewan,"Economic families, two persons or more",Total income,Fourth quintile,85300,24.1
2000,Saskatchewan,"Economic families, two persons or more",Total income,Highest quintile,141600,39.9
2000,Saskatchewan,"Economic families, two persons or more",After-tax income,Total of quintiles,58200,100
2000,Saskatchewan,"Economic families, two persons or more",After-tax income,Lowest quintile,21700,7.5
2000,Saskatchewan,"Economic families, two persons or more",After-tax income,Second quintile,38600,13.3
2000,Saskatchewan,"Economic families, two persons or more",After-tax income,Third quintile,52800,18.1
2000,Saskatchewan,"Economic families, two persons or more",After-tax income,Fourth quintile,69700,23.9
2000,Saskatchewan,"Economic families, two persons or more",After-tax income,Highest quintile,108300,37.2
2000,Saskatchewan,Unattached individuals,Market income,Total of quintiles,22200,100
2000,Saskatchewan,Unattached individuals,Market income,Lowest quintile,3100,2.8
2000,Saskatchewan,Unattached individuals,Market income,Second quintile,4600,4.1
2000,Saskatchewan,Unattached individuals,Market income,Third quintile,11800,10.7
2000,Saskatchewan,Unattached individuals,Market income,Fourth quintile,29400,26.5
2000,Saskatchewan,Unattached individuals,Market income,Highest quintile,62200,56
2000,Saskatchewan,Unattached individuals,Total income,Total of quintiles,29300,100
2000,Saskatchewan,Unattached individuals,Total income,Lowest quintile,6500,4.4
2000,Saskatchewan,Unattached individuals,Total income,Second quintile,15700,10.7
2000,Saskatchewan,Unattached individuals,Total income,Third quintile,22500,15.4
2000,Saskatchewan,Unattached individuals,Total income,Fourth quintile,35800,24.5
2000,Saskatchewan,Unattached individuals,Total income,Highest quintile,65800,45
2000,Saskatchewan,Unattached individuals,After-tax income,Total of quintiles,24500,100
2000,Saskatchewan,Unattached individuals,After-tax income,Lowest quintile,6200,5.1
2000,Saskatchewan,Unattached individuals,After-tax income,Second quintile,15400,12.6
2000,Saskatchewan,Unattached individuals,After-tax income,Third quintile,20900,17.1
2000,Saskatchewan,Unattached individuals,After-tax income,Fourth quintile,30100,24.6
2000,Saskatchewan,Unattached individuals,After-tax income,Highest quintile,49800,40.7
2000,Alberta,All family units,Market income,Total of quintiles,64500,100
2000,Alberta,All family units,Market income,Lowest quintile,7300,2.3
2000,Alberta,All family units,Market income,Second quintile,25900,8
2000,Alberta,All family units,Market income,Third quintile,50900,15.8
2000,Alberta,All family units,Market income,Fourth quintile,79400,24.6
2000,Alberta,All family units,Market income,Highest quintile,159200,49.4
2000,Alberta,All family units,Total income,Total of quintiles,71100,100
2000,Alberta,All family units,Total income,Lowest quintile,14500,4.1
2000,Alberta,All family units,Total income,Second quintile,35000,9.8
2000,Alberta,All family units,Total income,Third quintile,57900,16.3
2000,Alberta,All family units,Total income,Fourth quintile,84800,23.9
2000,Alberta,All family units,Total income,Highest quintile,163100,45.9
2000,Alberta,All family units,After-tax income,Total of quintiles,57900,100
2000,Alberta,All family units,After-tax income,Lowest quintile,13900,4.8
2000,Alberta,All family units,After-tax income,Second quintile,31400,10.9
2000,Alberta,All family units,After-tax income,Third quintile,49100,17
2000,Alberta,All family units,After-tax income,Fourth quintile,69400,24
2000,Alberta,All family units,After-tax income,Highest quintile,125500,43.4
2000,Alberta,"Economic families, two persons or more",Market income,Total of quintiles,82000,100
2000,Alberta,"Economic families, two persons or more",Market income,Lowest quintile,16600,4
2000,Alberta,"Economic families, two persons or more",Market income,Second quintile,45600,11.1
2000,Alberta,"Economic families, two persons or more",Market income,Third quintile,68400,16.7
2000,Alberta,"Economic families, two persons or more",Market income,Fourth quintile,96700,23.6
2000,Alberta,"Economic families, two persons or more",Market income,Highest quintile,182800,44.6
2000,Alberta,"Economic families, two persons or more",Total income,Total of quintiles,89100,100
2000,Alberta,"Economic families, two persons or more",Total income,Lowest quintile,28000,6.3
2000,Alberta,"Economic families, two persons or more",Total income,Second quintile,53900,12.1
2000,Alberta,"Economic families, two persons or more",Total income,Third quintile,75000,16.8
2000,Alberta,"Economic families, two persons or more",Total income,Fourth quintile,102100,22.9
2000,Alberta,"Economic families, two persons or more",Total income,Highest quintile,186200,41.8
2000,Alberta,"Economic families, two persons or more",After-tax income,Total of quintiles,72200,100
2000,Alberta,"Economic families, two persons or more",After-tax income,Lowest quintile,26500,7.3
2000,Alberta,"Economic families, two persons or more",After-tax income,Second quintile,47100,13
2000,Alberta,"Economic families, two persons or more",After-tax income,Third quintile,62800,17.4
2000,Alberta,"Economic families, two persons or more",After-tax income,Fourth quintile,83300,23.1
2000,Alberta,"Economic families, two persons or more",After-tax income,Highest quintile,141400,39.2
2000,Alberta,Unattached individuals,Market income,Total of quintiles,29300,100
2000,Alberta,Unattached individuals,Market income,Lowest quintile,4300,2.9
2000,Alberta,Unattached individuals,Market income,Second quintile,9700,6.6
2000,Alberta,Unattached individuals,Market income,Third quintile,17500,12
2000,Alberta,Unattached individuals,Market income,Fourth quintile,36900,25.2
2000,Alberta,Unattached individuals,Market income,Highest quintile,77900,53.3
2000,Alberta,Unattached individuals,Total income,Total of quintiles,34800,100
2000,Alberta,Unattached individuals,Total income,Lowest quintile,7400,4.2
2000,Alberta,Unattached individuals,Total income,Second quintile,18200,10.5
2000,Alberta,Unattached individuals,Total income,Third quintile,26500,15.2
2000,Alberta,Unattached individuals,Total income,Fourth quintile,41200,23.6
2000,Alberta,Unattached individuals,Total income,Highest quintile,80900,46.5
2000,Alberta,Unattached individuals,After-tax income,Total of quintiles,28900,100
2000,Alberta,Unattached individuals,After-tax income,Lowest quintile,7200,5
2000,Alberta,Unattached individuals,After-tax income,Second quintile,17300,12
2000,Alberta,Unattached individuals,After-tax income,Third quintile,24000,16.6
2000,Alberta,Unattached individuals,After-tax income,Fourth quintile,34500,23.9
2000,Alberta,Unattached individuals,After-tax income,Highest quintile,61600,42.6
2000,British Columbia,All family units,Market income,Total of quintiles,55800,100
2000,British Columbia,All family units,Market income,Lowest quintile,6200,2.2
2000,British Columbia,All family units,Market income,Second quintile,20700,7.4
2000,British Columbia,All family units,Market income,Third quintile,42000,15.1
2000,British Columbia,All family units,Market income,Fourth quintile,71300,25.6
2000,British Columbia,All family units,Market income,Highest quintile,138600,49.7
2000,British Columbia,All family units,Total income,Total of quintiles,63400,100
2000,British Columbia,All family units,Total income,Lowest quintile,13100,4.1
2000,British Columbia,All family units,Total income,Second quintile,30700,9.7
2000,British Columbia,All family units,Total income,Third quintile,50200,15.8
2000,British Columbia,All family units,Total income,Fourth quintile,78400,24.7
2000,British Columbia,All family units,Total income,Highest quintile,144800,45.6
2000,British Columbia,All family units,After-tax income,Total of quintiles,50900,100
2000,British Columbia,All family units,After-tax income,Lowest quintile,8800,3.5
2000,British Columbia,All family units,After-tax income,Second quintile,27200,10.7
2000,British Columbia,All family units,After-tax income,Third quintile,42800,16.8
2000,British Columbia,All family units,After-tax income,Fourth quintile,64000,25.1
2000,British Columbia,All family units,After-tax income,Highest quintile,111500,43.8
2000,British Columbia,"Economic families, two persons or more",Market income,Total of quintiles,71400,100
2000,British Columbia,"Economic families, two persons or more",Market income,Lowest quintile,13300,3.7
2000,British Columbia,"Economic families, two persons or more",Market income,Second quintile,35100,9.8
2000,British Columbia,"Economic families, two persons or more",Market income,Third quintile,59800,16.8
2000,British Columbia,"Economic families, two persons or more",Market income,Fourth quintile,90600,25.4
2000,British Columbia,"Economic families, two persons or more",Market income,Highest quintile,158200,44.3
2000,British Columbia,"Economic families, two persons or more",Total income,Total of quintiles,80200,100
2000,British Columbia,"Economic families, two persons or more",Total income,Lowest quintile,24300,6.1
2000,British Columbia,"Economic families, two persons or more",Total income,Second quintile,46100,11.5
2000,British Columbia,"Economic families, two persons or more",Total income,Third quintile,69100,17.2
2000,British Columbia,"Economic families, two persons or more",Total income,Fourth quintile,97500,24.3
2000,British Columbia,"Economic families, two persons or more",Total income,Highest quintile,164000,40.9
2000,British Columbia,"Economic families, two persons or more",After-tax income,Total of quintiles,63900,100
2000,British Columbia,"Economic families, two persons or more",After-tax income,Lowest quintile,16600,5.2
2000,British Columbia,"Economic families, two persons or more",After-tax income,Second quintile,41200,12.9
2000,British Columbia,"Economic families, two persons or more",After-tax income,Third quintile,58100,18.2
2000,British Columbia,"Economic families, two persons or more",After-tax income,Fourth quintile,78900,24.7
2000,British Columbia,"Economic families, two persons or more",After-tax income,Highest quintile,124900,39.1
2000,British Columbia,Unattached individuals,Market income,Total of quintiles,28600,100
2000,British Columbia,Unattached individuals,Market income,Lowest quintile,3600,2.5
2000,British Columbia,Unattached individuals,Market income,Second quintile,6900,4.8
2000,British Columbia,Unattached individuals,Market income,Third quintile,19500,13.7
2000,British Columbia,Unattached individuals,Market income,Fourth quintile,35400,24.7
2000,British Columbia,Unattached individuals,Market income,Highest quintile,77700,54.3
2000,British Columbia,Unattached individuals,Total income,Total of quintiles,34300,100
2000,British Columbia,Unattached individuals,Total income,Lowest quintile,6900,4
2000,British Columbia,Unattached individuals,Total income,Second quintile,16700,9.7
2000,British Columbia,Unattached individuals,Total income,Third quintile,27100,15.8
2000,British Columbia,Unattached individuals,Total income,Fourth quintile,40900,23.8
2000,British Columbia,Unattached individuals,Total income,Highest quintile,79900,46.6
2000,British Columbia,Unattached individuals,After-tax income,Total of quintiles,28100,100
2000,British Columbia,Unattached individuals,After-tax income,Lowest quintile,6700,4.8
2000,British Columbia,Unattached individuals,After-tax income,Second quintile,16000,11.4
2000,British Columbia,Unattached individuals,After-tax income,Third quintile,23500,16.7
2000,British Columbia,Unattached individuals,After-tax income,Fourth quintile,34100,24.3
2000,British Columbia,Unattached individuals,After-tax income,Highest quintile,60200,42.8
2001,Canada,All family units,Market income,Total of quintiles,60600,100
2001,Canada,All family units,Market income,Lowest quintile,5700,1.9
2001,Canada,All family units,Market income,Second quintile,22700,7.5
2001,Canada,All family units,Market income,Third quintile,44600,14.7
2001,Canada,All family units,Market income,Fourth quintile,74600,24.6
2001,Canada,All family units,Market income,Highest quintile,155700,51.3
2001,Canada,All family units,Total income,Total of quintiles,68900,100
2001,Canada,All family units,Total income,Lowest quintile,14200,4.1
2001,Canada,All family units,Total income,Second quintile,33500,9.7
2001,Canada,All family units,Total income,Third quintile,53900,15.6
2001,Canada,All family units,Total income,Fourth quintile,81800,23.8
2001,Canada,All family units,Total income,Highest quintile,161000,46.8
2001,Canada,All family units,After-tax income,Total of quintiles,56700,100
2001,Canada,All family units,After-tax income,Lowest quintile,13600,4.8
2001,Canada,All family units,After-tax income,Second quintile,30500,10.7
2001,Canada,All family units,After-tax income,Third quintile,46600,16.4
2001,Canada,All family units,After-tax income,Fourth quintile,68100,24
2001,Canada,All family units,After-tax income,Highest quintile,124700,44
2001,Canada,"Economic families, two persons or more",Market income,Total of quintiles,76700,100
2001,Canada,"Economic families, two persons or more",Market income,Lowest quintile,12900,3.4
2001,Canada,"Economic families, two persons or more",Market income,Second quintile,37500,9.8
2001,Canada,"Economic families, two persons or more",Market income,Third quintile,63000,16.4
2001,Canada,"Economic families, two persons or more",Market income,Fourth quintile,91900,23.9
2001,Canada,"Economic families, two persons or more",Market income,Highest quintile,178400,46.5
2001,Canada,"Economic families, two persons or more",Total income,Total of quintiles,85900,100
2001,Canada,"Economic families, two persons or more",Total income,Lowest quintile,26300,6.1
2001,Canada,"Economic families, two persons or more",Total income,Second quintile,49200,11.5
2001,Canada,"Economic families, two persons or more",Total income,Third quintile,71800,16.7
2001,Canada,"Economic families, two persons or more",Total income,Fourth quintile,98700,23
2001,Canada,"Economic families, two persons or more",Total income,Highest quintile,183400,42.7
2001,Canada,"Economic families, two persons or more",After-tax income,Total of quintiles,70500,100
2001,Canada,"Economic families, two persons or more",After-tax income,Lowest quintile,25200,7.1
2001,Canada,"Economic families, two persons or more",After-tax income,Second quintile,44200,12.5
2001,Canada,"Economic families, two persons or more",After-tax income,Third quintile,61100,17.3
2001,Canada,"Economic families, two persons or more",After-tax income,Fourth quintile,81600,23.1
2001,Canada,"Economic families, two persons or more",After-tax income,Highest quintile,140500,39.9
2001,Canada,Unattached individuals,Market income,Total of quintiles,28100,100
2001,Canada,Unattached individuals,Market income,Lowest quintile,3100,2.2
2001,Canada,Unattached individuals,Market income,Second quintile,6500,4.6
2001,Canada,Unattached individuals,Market income,Third quintile,17400,12.4
2001,Canada,Unattached individuals,Market income,Fourth quintile,35800,25.5
2001,Canada,Unattached individuals,Market income,Highest quintile,77700,55.3
2001,Canada,Unattached individuals,Total income,Total of quintiles,34500,100
2001,Canada,Unattached individuals,Total income,Lowest quintile,7600,4.4
2001,Canada,Unattached individuals,Total income,Second quintile,17100,9.9
2001,Canada,Unattached individuals,Total income,Third quintile,26200,15.2
2001,Canada,Unattached individuals,Total income,Fourth quintile,40900,23.7
2001,Canada,Unattached individuals,Total income,Highest quintile,80700,46.8
2001,Canada,Unattached individuals,After-tax income,Total of quintiles,28900,100
2001,Canada,Unattached individuals,After-tax income,Lowest quintile,7300,5.1
2001,Canada,Unattached individuals,After-tax income,Second quintile,16600,11.5
2001,Canada,Unattached individuals,After-tax income,Third quintile,23700,16.4
2001,Canada,Unattached individuals,After-tax income,Fourth quintile,34400,23.8
2001,Canada,Unattached individuals,After-tax income,Highest quintile,62200,43.1
2001,Newfoundland and Labrador,All family units,Market income,Total of quintiles,41800,100
2001,Newfoundland and Labrador,All family units,Market income,Lowest quintile,2900,1.4
2001,Newfoundland and Labrador,All family units,Market income,Second quintile,12200,5.8
2001,Newfoundland and Labrador,All family units,Market income,Third quintile,28100,13.4
2001,Newfoundland and Labrador,All family units,Market income,Fourth quintile,53300,25.5
2001,Newfoundland and Labrador,All family units,Market income,Highest quintile,112700,53.9
2001,Newfoundland and Labrador,All family units,Total income,Total of quintiles,54500,100
2001,Newfoundland and Labrador,All family units,Total income,Lowest quintile,13500,4.9
2001,Newfoundland and Labrador,All family units,Total income,Second quintile,28400,10.4
2001,Newfoundland and Labrador,All family units,Total income,Third quintile,42900,15.7
2001,Newfoundland and Labrador,All family units,Total income,Fourth quintile,66100,24.2
2001,Newfoundland and Labrador,All family units,Total income,Highest quintile,121600,44.6
2001,Newfoundland and Labrador,All family units,After-tax income,Total of quintiles,46300,100
2001,Newfoundland and Labrador,All family units,After-tax income,Lowest quintile,13300,5.7
2001,Newfoundland and Labrador,All family units,After-tax income,Second quintile,26900,11.6
2001,Newfoundland and Labrador,All family units,After-tax income,Third quintile,38600,16.7
2001,Newfoundland and Labrador,All family units,After-tax income,Fourth quintile,56200,24.2
2001,Newfoundland and Labrador,All family units,After-tax income,Highest quintile,96700,41.7
2001,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Total of quintiles,49700,100
2001,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Lowest quintile,5500,2.2
2001,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Second quintile,19000,7.6
2001,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Third quintile,35100,14.1
2001,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Fourth quintile,66400,26.7
2001,Newfoundland and Labrador,"Economic families, two persons or more",Market income,Highest quintile,122700,49.3
2001,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Total of quintiles,63600,100
2001,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Lowest quintile,21300,6.7
2001,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Second quintile,36400,11.5
2001,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Third quintile,52100,16.4
2001,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Fourth quintile,77000,24.2
2001,Newfoundland and Labrador,"Economic families, two persons or more",Total income,Highest quintile,131100,41.2
2001,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Total of quintiles,53900,100
2001,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Lowest quintile,20900,7.8
2001,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Second quintile,34200,12.7
2001,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Third quintile,46200,17.2
2001,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Fourth quintile,64700,24
2001,Newfoundland and Labrador,"Economic families, two persons or more",After-tax income,Highest quintile,103400,38.4
2001,Newfoundland and Labrador,Unattached individuals,Market income,Total of quintiles,15600,100
2001,Newfoundland and Labrador,Unattached individuals,Market income,Lowest quintile,2000,2.6
2001,Newfoundland and Labrador,Unattached individuals,Market income,Second quintile,4700,6
2001,Newfoundland and Labrador,Unattached individuals,Market income,Third quintile,3000,3.8
2001,Newfoundland and Labrador,Unattached individuals,Market income,Fourth quintile,18200,23.3
2001,Newfoundland and Labrador,Unattached individuals,Market income,Highest quintile,50200,64.3
2001,Newfoundland and Labrador,Unattached individuals,Total income,Total of quintiles,24300,100
2001,Newfoundland and Labrador,Unattached individuals,Total income,Lowest quintile,7400,6.1
2001,Newfoundland and Labrador,Unattached individuals,Total income,Second quintile,14100,11.6
2001,Newfoundland and Labrador,Unattached individuals,Total income,Third quintile,17600,14.5
2001,Newfoundland and Labrador,Unattached individuals,Total income,Fourth quintile,28200,23.2
2001,Newfoundland and Labrador,Unattached individuals,Total income,Highest quintile,54300,44.7
2001,Newfoundland and Labrador,Unattached individuals,After-tax income,Total of quintiles,21200,100
2001,Newfoundland and Labrador,Unattached individuals,After-tax income,Lowest quintile,7300,6.9
2001,Newfoundland and Labrador,Unattached individuals,After-tax income,Second quintile,13900,13.1
2001,Newfoundland and Labrador,Unattached individuals,After-tax income,Third quintile,17200,16.2
2001,Newfoundland and Labrador,Unattached individuals,After-tax income,Fourth quintile,24900,23.5
2001,Newfoundland and Labrador,Unattached individuals,After-tax income,Highest quintile,42900,40.4
2001,Prince Edward Island,All family units,Market income,Total of quintiles,44300,100
2001,Prince Edward Island,All family units,Market income,Lowest quintile,6600,3
2001,Prince Edward Island,All family units,Market income,Second quintile,15100,6.8
2001,Prince Edward Island,All family units,Market income,Third quintile,31200,14.1
2001,Prince Edward Island,All family units,Market income,Fourth quintile,55900,25.2
2001,Prince Edward Island,All family units,Market income,Highest quintile,113100,51
2001,Prince Edward Island,All family units,Total income,Total of quintiles,54900,100
2001,Prince Edward Island,All family units,Total income,Lowest quintile,15000,5.4
2001,Prince Edward Island,All family units,Total income,Second quintile,28500,10.4
2001,Prince Edward Island,All family units,Total income,Third quintile,43200,15.7
2001,Prince Edward Island,All family units,Total income,Fourth quintile,65900,24
2001,Prince Edward Island,All family units,Total income,Highest quintile,122100,44.5
2001,Prince Edward Island,All family units,After-tax income,Total of quintiles,47000,100
2001,Prince Edward Island,All family units,After-tax income,Lowest quintile,14500,6.2
2001,Prince Edward Island,All family units,After-tax income,Second quintile,26800,11.4
2001,Prince Edward Island,All family units,After-tax income,Third quintile,38700,16.5
2001,Prince Edward Island,All family units,After-tax income,Fourth quintile,56900,24.2
2001,Prince Edward Island,All family units,After-tax income,Highest quintile,98000,41.7
2001,Prince Edward Island,"Economic families, two persons or more",Market income,Total of quintiles,54900,100
2001,Prince Edward Island,"Economic families, two persons or more",Market income,Lowest quintile,8900,3.2
2001,Prince Edward Island,"Economic families, two persons or more",Market income,Second quintile,25100,9.1
2001,Prince Edward Island,"Economic families, two persons or more",Market income,Third quintile,45800,16.7
2001,Prince Edward Island,"Economic families, two persons or more",Market income,Fourth quintile,69300,25.2
2001,Prince Edward Island,"Economic families, two persons or more",Market income,Highest quintile,125700,45.8
2001,Prince Edward Island,"Economic families, two persons or more",Total income,Total of quintiles,66600,100
2001,Prince Edward Island,"Economic families, two persons or more",Total income,Lowest quintile,23500,7.1
2001,Prince Edward Island,"Economic families, two persons or more",Total income,Second quintile,39200,11.8
2001,Prince Edward Island,"Economic families, two persons or more",Total income,Third quintile,57100,17.2
2001,Prince Edward Island,"Economic families, two persons or more",Total income,Fourth quintile,78900,23.7
2001,Prince Edward Island,"Economic families, two persons or more",Total income,Highest quintile,134300,40.3
2001,Prince Edward Island,"Economic families, two persons or more",After-tax income,Total of quintiles,56700,100
2001,Prince Edward Island,"Economic families, two persons or more",After-tax income,Lowest quintile,23000,8.1
2001,Prince Edward Island,"Economic families, two persons or more",After-tax income,Second quintile,36300,12.8
2001,Prince Edward Island,"Economic families, two persons or more",After-tax income,Third quintile,50200,17.7
2001,Prince Edward Island,"Economic families, two persons or more",After-tax income,Fourth quintile,67000,23.6
2001,Prince Edward Island,"Economic families, two persons or more",After-tax income,Highest quintile,107000,37.8
2001,Prince Edward Island,Unattached individuals,Market income,Total of quintiles,17400,100
2001,Prince Edward Island,Unattached individuals,Market income,Lowest quintile,5300,6.1
2001,Prince Edward Island,Unattached individuals,Market income,Second quintile,6800,7.8
2001,Prince Edward Island,Unattached individuals,Market income,Third quintile,10700,12.2
2001,Prince Edward Island,Unattached individuals,Market income,Fourth quintile,20500,23.5
2001,Prince Edward Island,Unattached individuals,Market income,Highest quintile,43900,50.3
2001,Prince Edward Island,Unattached individuals,Total income,Total of quintiles,25200,100
2001,Prince Edward Island,Unattached individuals,Total income,Lowest quintile,9800,7.7
2001,Prince Edward Island,Unattached individuals,Total income,Second quintile,16100,12.8
2001,Prince Edward Island,Unattached individuals,Total income,Third quintile,20900,16.6
2001,Prince Edward Island,Unattached individuals,Total income,Fourth quintile,29400,23.3
2001,Prince Edward Island,Unattached individuals,Total income,Highest quintile,49900,39.6
2001,Prince Edward Island,Unattached individuals,After-tax income,Total of quintiles,22300,100
2001,Prince Edward Island,Unattached individuals,After-tax income,Lowest quintile,9700,8.7
2001,Prince Edward Island,Unattached individuals,After-tax income,Second quintile,15700,14
2001,Prince Edward Island,Unattached individuals,After-tax income,Third quintile,19700,17.6
2001,Prince Edward Island,Unattached individuals,After-tax income,Fourth quintile,25900,23.3
2001,Prince Edward Island,Unattached individuals,After-tax income,Highest quintile,40500,36.4
2001,Nova Scotia,All family units,Market income,Total of quintiles,49300,100
2001,Nova Scotia,All family units,Market income,Lowest quintile,4600,1.9
